country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,region,telephone,personal,avgGenderDiffNorm,GenderIndex,logAvgGDPpcNorm,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualsGEIx,residualsGEIy,residualsGDPx,residualsGDPy,residualsWEFx,residualsUNx,residualsRatiox,residualsDatex
Pakistan,-0.298679188554532,PAK,6.86941729765193,1947,0.559,24.4373580721838,0.547,South Asia,F,T,0.0763712340561202,-3.47779702297101,0.15696087428649,0.0111404708000334,0,0.882352941176471,0.465909090909091,0.0616468649727501,-0.00129934717411906,-0.115814729876285,-0.326360143317323,-0.214528600217056,-0.422492737918498,-0.0597054266989683,-0.532287606770083,0.101900532556227
Peru,-0.0330019481324922,PER,8.40736001602751,1955,0.683,81.062102479532,0.381,Latin America and Caribbean,F,T,0.459641930806435,-0.377323879456049,0.456647414377356,0.449627447354375,0.426116838487973,0.595155709342561,0.556818181818182,0.777607227539538,-0.0348068501587971,-0.0295496143268994,-0.020111914227163,-0.0185901529982978,-0.0653339429069446,-0.0632662203320114,0.151754356661179,-0.0838576979043674
Philippines,-0.0908733070455228,PHL,7.62901056403653,1937,0.79,62.872108196352,0.425,East Asia and Pacific,F,T,0.376155682540493,0.511845353245223,0.304976710740764,0.575378940899103,0.793814432989691,0.671280276816609,0.352272727272727,0.547613873249301,-0.282032611977975,-0.198212612243713,0.172565320693313,-0.00726795877742666,0.337263166842606,0.0077612140729298,-0.0620851655137718,0.168690699084682
Poland,0.105005077804049,POL,9.33943401027034,1918,0.715,75.2612186543616,0.12,Ex Soviet,F,T,0.658733312902668,1.32875777288881,0.63827318437895,0.690911454944078,0.536082474226804,0.143598615916955,0.136363636363636,0.704261150128585,-0.0365260785652006,0.00611001097737783,0.1410284728818,0.0669680552123701,0.00283949976105199,0.212076251497421,0.0590640543863057,0.279113291565958
Portugal,0.0962354567679654,PRT,10.0054394492667,1976,0.731,80.8225305914958,0.081,Europe,T,F,0.646082102135059,0.545787405005703,0.768052312892475,0.580179223619059,0.59106529209622,0.0761245674740485,0.795454545454545,0.774578092880929,0.177395389006796,0.068462374958555,-0.0269696916960702,-0.0268073064073674,0.0279600662805941,0.153637660880951,0.115558747990925,-0.421051996999984
Romania,-0.077159547641114,ROU,8.94988350962712,1946,0.693,74.6844492932651,0.316,Ex Soviet,F,T,0.395939394964051,-0.0655569191526188,0.562364608374416,0.493719347359678,0.460481099656357,0.482698961937716,0.454545454545455,0.696968507924014,0.0374061368374223,-0.123117439419683,-0.0226684533388135,-0.148375869485461,-0.0552952682585415,-0.0533770509544353,0.0598561270507683,-0.0150438803423674
Russia,0.193595615178475,RUS,9.20980936584525,1918,0.694,80.521562287661,0.255,Ex Soviet,F,T,0.786535592582491,0.858282400551974,0.613014271459687,0.62437408661023,0.463917525773196,0.377162629757785,0.136363636363636,0.770772665091542,-0.0112250981326159,0.178980835015954,0.0856367736385204,0.210559529083071,-0.0635133584507808,0.0030186156995276,0.128265793821947,0.287107598402935
Rwanda,-0.10578715419623,RWA,6.29606341020118,1961,0.794,98.6509726978054,0.412,Sub-Saharan Africa,F,T,0.354640702259912,1.0329206304166,0.0452360091632614,0.649072442589966,0.807560137457045,0.64878892733564,0.625,1,-0.597770953370739,-0.269643285511162,0.360871193802866,0.133579407634857,0.410775354604625,0.282254850680899,0.417964890962228,-0.0218300719970374
Serbia,0.0204950643104785,SRB,8.57970094547058,1945,0.72,71.7327201888246,0.161,Ex Soviet,F,T,0.53681766930969,0.607010851842601,0.490230106530802,0.588837800183058,0.553264604810997,0.214532871972318,0.443181818181818,0.65964699659654,-0.107006228573218,-0.046666874160724,0.104279844661664,0.0375932470952199,0.0540864268340695,0.284774448825272,0.0302173692449873,0.0191499286068268
South Africa,-0.130541162721968,ZAF,8.86385418159955,1994,0.759,74.1108488287605,0.422,Sub-Saharan Africa,F,T,0.31893013074106,-0.696409424831705,0.545600764471208,0.40450051040715,0.687285223367698,0.666089965397924,1,0.689715933085339,0.0884372026857166,-0.139695051301746,-0.104490128844674,-0.214906155946449,0.175366225478022,-0.220503653113687,0.0543890013036209,-0.55519276152079
South Korea,-0.0373694867661097,KOR,9.95737590307406,1948,0.651,68.3026729839422,0.058,East Asia and Pacific,T,F,0.453341242149284,0.0290540585883821,0.758686555838681,0.507099783073264,0.316151202749141,0.0363321799307959,0.477272727272727,0.616277655752149,0.223560663803693,-0.0747787213541871,-0.095916427511543,-0.213693688120874,-0.244798957036795,0.202516772930212,-0.0417441803015929,-0.0999059682882852
Spain,0.0431379861295646,ESP,10.3356817805906,1931,0.742,72.4187371871484,0.074,Europe,T,F,0.56948274972184,1.39803404836439,0.832403982485567,0.700708909453163,0.628865979381443,0.0640138408304498,0.284090909090909,0.66832096032013,0.150159906686579,-0.0897767781949881,0.0651643772323193,-0.143632499535122,0.0509533977591968,0.103313937246215,0.0024477798374864,0.0699446903249776
Sri Lanka,-0.187896687844925,LKA,7.82489428939383,1931,0.686,46.8259833414652,0.38,South Asia,F,T,0.236188033444974,-0.744158183024797,0.343146998366589,0.397747602820091,0.436426116838488,0.593425605536332,0.284090909090909,0.34472749399695,-0.108885216989578,-0.217863121659903,-0.0219089193874242,-0.171095624555859,-0.0289081542203659,0.0485827991884907,-0.269036907445373,0.224791831438417
Suriname,0.0018761373282305,SUR,8.93962955677749,1948,0.678,58.4393445842597,0.465,Latin America and Caribbean,F,T,0.509957675183383,-1.12159195347006,0.560366502973582,0.344368719923391,0.40893470790378,0.740484429065744,0.477272727272727,0.491566237606912,0.148895414305755,0.0920622715290312,-0.171137403021313,-0.0331085856257713,-0.106381894820932,-0.309223941926039,-0.145333333155878,-0.0371387637139325
Sweden,0.336096939577768,SWE,10.8520837820769,1921,0.823,88.0535346124517,0.04,Europe,T,F,0.992110529312483,2.96389177758149,0.933031091201869,0.922161632833393,0.907216494845361,0.00519031141868513,0.170454545454545,0.866006536660247,0.082511257630164,0.182851803396846,0.242214696642217,0.216093881033845,0.30614955822385,0.0645083257898951,0.189415970542309,0.151733128210646
Switzerland,0.282579197387564,CHE,11.1957573605179,1971,0.785,80.1296148105093,0.037,Europe,T,F,0.914904885708389,1.32374131111504,1,0.690201997692115,0.776632302405498,0,0.738636363636364,0.765816901303365,0.325739833865585,0.262762128872744,-0.0192954302089085,0.0970263762663372,0.160155781746381,0.00472492272705161,0.0820937480494116,-0.437643980804988
