country,gender,preference,isocode,logAvgGDPpc,genderOrig
Iran,0.00101071989039081,risktaking,IRN,8.71899979801416,-0.00101071989039081
Iraq,-0.144346129909453,risktaking,IRQ,8.34982696860798,0.144346129909453
Israel,0.305806268699178,risktaking,ISR,10.284498722553,-0.305806268699178
Italy,0.183523644493995,risktaking,ITA,10.5134215660861,-0.183523644493995
Japan,0.302859480241506,risktaking,JPN,10.700332166688,-0.302859480241506
Jordan,0.123853329708714,risktaking,JOR,8.17318158968626,-0.123853329708714
Kazakhstan,0.153800373134261,risktaking,KAZ,9.01546392675182,-0.153800373134261
Kenya,0.20240191852797,risktaking,KEN,6.80663994139168,-0.20240191852797
Lithuania,0.322530865709554,risktaking,LTU,9.36720863436723,-0.322530865709554
Malawi,0.144507497624101,risktaking,MWI,6.06391954788452,-0.144507497624101
Mexico,0.106649545660141,risktaking,MEX,9.14391571211559,-0.106649545660141
Moldova,0.116622346742093,risktaking,MDA,7.71549766835688,-0.116622346742093
Morocco,0.382731075360244,risktaking,MAR,7.87263480044974,-0.382731075360244
Netherlands,0.409561286338123,risktaking,NLD,10.8220941128038,-0.409561286338123
Nicaragua,0.175788358749953,risktaking,NIC,7.29807137022244,-0.175788358749953
Nigeria,0.327051170833184,risktaking,NGA,7.62677036971656,-0.327051170833184
Pakistan,-0.0444558022141197,risktaking,PAK,6.86941729765193,0.0444558022141197
